title,fen,player_color,plan,goal_type,level_tier,status
Bishop Pressure on the f7 Defender,r6k/ppp2q2/2npb2B/7Q/2P4P/P1PBPr2/5P2/R3K3 w Q - 2 20,white,"Play Bg6 to attack the queen on f7; if the queen moves, Qxf3 wins the advanced rook, while Qxg6 is met by Qxg6.",gain_piece,advanced,checked
Forcing the f7 Interposition,r4rk1/pp4q1/2p2b1Q/4p3/3n4/3B4/PP4P1/4RRK1 w - - 3 31,white,"Play Bc4+ to force an interposition on the c4-g8 diagonal; after ...Rf7, Qxf6 exploits the overloaded queen and pinned rook to win decisive material.",gain_piece,advanced,checked
Dragging the King with Rxg7,3r1r1k/1pq2pb1/p1b2n1p/5P2/5P1Q/3B3P/P2B3K/3R2R1 w - - 5 28,white,"Sacrifice with Rxg7 to remove the g7-bishop and drag the king into the open; after Kxg7, Rg1+ and Qxf6 keep the attack going and win decisive material.",gain_piece,advanced,checked
Exploiting the Overloaded Defender on e5,2q1rrk1/p2R1ppp/2p5/3pbQ1N/8/8/2P2PPP/4R1K1 w - - 0 22,white,Remove the central bishop on e5 to take advantage of the overloaded black queen and the coordinate pressure on the kingside.,gain_piece,advanced,checked
Qf6 Dark-Square Invasion,r3q1k1/p4p1p/1b4pB/2p5/4r3/5QP1/Pp2P2P/4RRK1 w - - 0 24,white,"Play Qf6 to invade the dark squares and overload Black's back rank; after ...c4+ e3, White keeps decisive pressure on f7 and b2 and wins material.",gain_piece,advanced,checked
The Overloaded Defender on the G2-Square,8/pp1b1p1k/6pp/7P/1P1R4/5Pq1/4r1B1/1Q4RK b - - 0 34,black,"Coordinate the bishop and queen to pressure g2, exploiting the overloaded defender to win material.",gain_piece,advanced,checked
Exploiting Overloaded Defenders in the Center,2r2rk1/2qbbppp/p3pn2/1p2Q1B1/8/P1N5/BP3PPP/2RR2K1 w - - 1 17,white,"Start with Qxc7, forcing ...Rxc7; then Nd5 and Rxc7 remove the overloaded defenders and win material on the central files.",gain_piece,advanced,checked
Coordinated Piece Assault on the Centralized King,rnbk3r/ppp3pp/5n2/6N1/4R3/BB6/P4PPP/bN4K1 w - - 3 16,white,Initiate a forcing sequence using the knight check on f7 to drive the king into a decisive light-square mating net.,mate,advanced,checked
Exploiting Kingside Overextension,rnbqk1r1/ppp2p1p/7B/3pP3/2n5/1P3P2/P1P1P1PP/RN1QKBNR b KQq - 0 10,black,Launch a decisive queen check on h4 to exploit the undefended bishop on h6 and the exposed white king.,gain_piece,advanced,checked
g-Pawn Deflection of the f6 Knight,1r4k1/pqp1Rppp/2p2n2/8/2pP2P1/B4Q1P/P4P2/6K1 w - - 1 22,white,"Play g5 to attack the f6 knight and open the kingside; after ...h6 gxf6, White removes a key defender and keeps pressure on the seventh rank.",gain_piece,advanced,checked
Back-Rank Overload on d1,3r2k1/p4ppp/1p3bq1/8/4N3/1Q2R3/PPPr1PPP/2R3K1 b - - 10 20,black,"Play Rd1+ to force Re1; after Rxe1+ Rxe1 Qxe4, Black overloads the back rank and wins material.",gain_piece,advanced,checked
Bxf2+ Pin Breakthrough,r5k1/pp4pp/2n2np1/2b3B1/6P1/P2Q1N1q/1PP2P2/R3R1K1 b - - 1 20,black,Start with Bxf2+ to drag the king onto f2; then Nxg4+ and Qg2+ exploit the pinned f-file coordination and win decisive material.,gain_piece,advanced,checked
The Back-Rank Deflection,3kr3/ppp1r1p1/2p5/5Q2/3P4/2P2PB1/PP1q2PP/1K5R b - - 0 25,black,Coordinate the active queen and doubled rooks to execute a back-rank checkmate through a decisive deflection sacrifice.,mate,advanced,checked
Knight Interference for Back-Rank Mate,3r2k1/1b6/p7/1p1q4/1P1n3R/P1Q5/5PPP/3R1BK1 b - - 5 37,black,"Play Ne2+ to force Kh1, then Qxg2+! Bxg2 Rxd1+ Qe1 Rxe1# finishes the back-rank mate.",mate,advanced,checked
The h2 Sacrifice: Decoy and Invasion,6k1/ppp2p1p/4r2r/2q2p2/2P2Q2/P1N2PP1/1P3RK1/R7 b - - 6 31,black,"Sacrifice the h6-rook on h2 to lure the king into a vulnerable position, allowing the queen and remaining rook to overwhelm the defense.",gain_piece,advanced,checked
Exploiting the Relative Pin on the d-file,2rq1rk1/1p1bnppp/p3p3/8/P7/1B3N2/1P3PPP/RQ1R2K1 w - - 0 18,white,"Play Ne5, using the d-file pin to force ...Nd5 Bxd5 exd5 Rxd5, leaving White with the healthier material balance and active rooks.",gain_piece,advanced,checked
Queen Counterattack on the Overextended Knight,r1q1k2r/2p2pb1/p4np1/1p2p1Np/5QnP/P1N1BP2/1PP3P1/3R1RK1 w kq - 0 19,white,"Play Qg3 instead of grabbing the knight immediately; after ...Nxe3 Qxe5+ and Qxe3, White wins the loose knight while keeping the initiative.",gain_piece,advanced,checked
