id,title,fen,player_color,mode,mate_in,plan,level_tier,level_thresholds,score_rules,created_at,updated_at,training_category,training_section,training_lesson_title
14880,Queen and rook mate,8/8/3k4/8/8/4K3/8/Q6R w - - 0 1,white,mate,,,all,,,5/11/2026 7:17,5/11/2026 7:17,Pattern Recognition,Checkmates,Piece Checkmates I
14881,Two rook mate,8/8/3k4/8/8/4K3/8/R6R w - - 0 1,white,mate,,,all,,,5/11/2026 7:17,5/11/2026 7:17,Pattern Recognition,Checkmates,Piece Checkmates I
14882,Queen and bishop mate,8/8/3k4/8/8/2QBK3/8/8 w - - 0 1,white,mate,,,all,,,5/11/2026 7:17,5/11/2026 7:17,Pattern Recognition,Checkmates,Piece Checkmates I
14883,Queen and knight mate,8/8/3k4/8/8/2QNK3/8/8 w - - 0 1,white,mate,,,all,,,5/11/2026 7:17,5/11/2026 7:17,Pattern Recognition,Checkmates,Piece Checkmates I
14884,Queen mate,8/8/3k4/8/8/4K3/8/4Q3 w - - 0 1,white,mate,,,all,,,5/11/2026 7:17,5/11/2026 7:17,Pattern Recognition,Checkmates,Piece Checkmates I
14885,Rook mate,8/8/3k4/8/8/4K3/8/4R3 w - - 0 1,white,mate,,,all,,,5/11/2026 7:17,5/11/2026 7:17,Pattern Recognition,Checkmates,Piece Checkmates I
14886,Back-Rank Mate #1,6k1/4Rppp/8/8/8/8/5PPP/6K1 w - - 0 1,white,mate,,,all,,,5/11/2026 7:17,5/11/2026 7:17,Pattern Recognition,Checkmates,Checkmate Patterns I
14887,Back-Rank Mate #2,2r1r1k1/5ppp/8/8/Q7/8/5PPP/4R1K1 w - - 0 1,white,mate,,,all,,,5/11/2026 7:17,5/11/2026 7:17,Pattern Recognition,Checkmates,Checkmate Patterns I
14888,Back-Rank Mate #3,8/1p6/kp6/1p6/8/8/5PPP/5RK1 w - - 0 1,white,mate,,,all,,,5/11/2026 7:17,5/11/2026 7:17,Pattern Recognition,Checkmates,Checkmate Patterns I
14889,Back-Rank Mate #4,6k1/3qb1pp/4p3/ppp1P3/8/2PP1Q2/PP4PP/5RK1 w - - 0 1,white,mate,,,all,,,5/11/2026 7:17,5/11/2026 7:17,Pattern Recognition,Checkmates,Checkmate Patterns I
14890,Hook Mate #1,R7/4kp2/5N2/4P3/8/8/8/6K1 w - - 0 1,white,mate,,,all,,,5/11/2026 7:17,5/11/2026 7:17,Pattern Recognition,Checkmates,Checkmate Patterns I
14891,Hook Mate #2,5r1b/2R1R3/P4r2/2p2Nkp/2b3pN/6P1/4PP2/6K1 w - - 0 1,white,mate,,,all,,,5/11/2026 7:17,5/11/2026 7:17,Pattern Recognition,Checkmates,Checkmate Patterns I
14892,Hook Mate #3,2b1Q3/1kp5/p1Nb4/3P4/1P5p/p6P/K3R1P1/5q2 w - - 0 1,white,mate,,,all,,,5/11/2026 7:17,5/11/2026 7:17,Pattern Recognition,Checkmates,Checkmate Patterns I
14893,Anastasia's Mate #1,5r2/1b2Nppk/8/2R5/8/8/5PPP/6K1 w - - 0 1,white,mate,,,all,,,5/11/2026 7:17,5/11/2026 7:17,Pattern Recognition,Checkmates,Checkmate Patterns I
14894,Anastasia's Mate #2,5r1k/1b2Nppp/8/2R5/4Q3/8/5PPP/6K1 w - - 0 1,white,mate,,,all,,,5/11/2026 7:17,5/11/2026 7:17,Pattern Recognition,Checkmates,Checkmate Patterns I
14895,Anastasia's Mate #3,5rk1/1b3ppp/8/2RN4/8/8/2Q2PPP/6K1 w - - 0 1,white,mate,,,all,,,5/11/2026 7:17,5/11/2026 7:17,Pattern Recognition,Checkmates,Checkmate Patterns I
14896,Anastasia's Mate #4,1r5k/6pp/2pr4/P1Q3bq/1P2Bn2/2P5/5PPP/R3NRK1 b - - 0 1,black,mate,,,all,,,5/11/2026 7:17,5/11/2026 7:17,Pattern Recognition,Checkmates,Checkmate Patterns I
14897,Blind Swine Mate #1,5rk1/1R2R1pp/8/8/8/8/8/1K6 w - - 0 1,white,mate,,,all,,,5/11/2026 7:17,5/11/2026 7:17,Pattern Recognition,Checkmates,Checkmate Patterns I
14898,Blind Swine Mate #2,r4rk1/2R5/1n2N1pp/2Rp4/p2P4/P3P2P/qP3PPK/8 w - - 0 1,white,mate,,,all,,,5/11/2026 7:17,5/11/2026 7:17,Pattern Recognition,Checkmates,Checkmate Patterns I
14899,Blind Swine Mate #3,5rk1/1R1R1p1p/4N1p1/p7/5p2/1P4P1/r2nP1KP/8 w - - 0 1,white,mate,,,all,,,5/11/2026 7:17,5/11/2026 7:17,Pattern Recognition,Checkmates,Checkmate Patterns I
14900,Smothered Mate #1,6rk/6pp/8/6N1/8/8/8/7K w - - 0 1,white,mate,,,all,,,5/11/2026 7:17,5/11/2026 7:17,Pattern Recognition,Checkmates,Checkmate Patterns I
14901,Smothered Mate #2,6rk/6pp/6q1/6N1/8/7Q/6PP/6K1 w - - 0 1,white,mate,,,all,,,5/11/2026 7:17,5/11/2026 7:17,Pattern Recognition,Checkmates,Checkmate Patterns I
